Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D2,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,121.158000,-56.466000,0.000000,Bottom
D4,1N5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,118.313200,-60.833200,-90.000000,Bottom
LED1,17-21SUYC/TR8,LED0805-R-RD,118.350000,-66.500000,-90.000000,Bottom
Q1,AO3401A,SOT-23,121.259600,-61.546000,-90.000000,Bottom
Q3,MMBT3904-C20526,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,121.259600,-58.869600,90.000000,Bottom
R1,100K,R0402,123.545600,-60.096400,-90.000000,Bottom
R2,100K,R0402,119.024400,-57.864800,90.000000,Bottom
R3,10K,R0402,124.460000,-57.814000,-90.000000,Bottom
R4,220,R0402,117.805200,-57.864800,90.000000,Bottom
R5,220K,R0402,123.291600,-57.814000,90.000000,Bottom
R6,120,R0402,116.570000,-66.030000,-90.000000,Bottom
SW2,SW_MEC_5E,2_PAD_2W_1.6_0.8,109.490000,-60.880000,90.000000,Bottom
5Pads1,~,5_PIN_PAD_1.6_W_2_H_0.8,115.620800,-73.152000,0.000000,Top
SW1,SW_MEC_5E,2_PAD_1.6W_2H_0.8,132.080000,-56.130000,-90.000000,Top
U1,XIAO-ESP32-S3-DIP,XIAO-ESP32S3-DIP,120.729400,-61.315600,0.000000,Top